Season,MatchDay,Team,HomeAway,Opponent,Scored,Conceded,XGoals,Passes,Accuracy,Shots,OnTarget,OffTarget,Possession,TacklesWon,Corners,Offsides,Fouls,Win
2020-2021,6,Bayer Leverkusen,Away,Freiburg,4,2,1.19,579,0.85,18,7,11,0.59,83,6,3,11,1
2020-2021,6,Hertha Berlin,Home,Wolfsburg,1,1,1.51,383,0.79,18,5,13,0.5,109,8,3,8,0
2020-2021,6,Wolfsburg,Away,Hertha Berlin,1,1,0.51,353,0.76,11,4,7,0.5,118,6,2,15,0
2020-2021,6,Hoffenheim,Home,Union Berlin,1,3,1.33,529,0.85,10,5,5,0.59,76,3,2,19,0
2020-2021,6,Union Berlin,Away,Hoffenheim,3,1,3.35,347,0.8,9,6,3,0.41,83,6,3,13,1
2020-2021,7,Werder Bremen,Home,Cologne,1,1,1.7,643,0.91,18,4,14,0.62,87,1,0,20,0
2020-2021,7,Cologne,Away,Werder Bremen,1,1,0.48,305,0.81,8,1,7,0.38,93,3,1,20,0
2020-2021,7,Union Berlin,Home,Arminia Bielefeld,5,0,,543,0.87,9,8,1,0.51,96,5,2,17,1
2020-2021,7,Arminia Bielefeld,Away,Union Berlin,0,5,,510,0.88,5,1,4,0.49,77,1,1,9,0
2020-2021,7,RB Leipzig,Home,Freiburg,3,0,,517,0.86,15,7,8,0.56,97,3,1,14,1
2020-2021,7,Freiburg,Away,RB Leipzig,0,3,,374,0.79,8,3,5,0.44,108,4,2,14,0
2020-2021,7,VfB Stuttgart,Home,Eintracht Frankfurt,2,2,2.13,332,0.76,16,5,11,0.45,123,10,2,14,0
2020-2021,7,Eintracht Frankfurt,Away,VfB Stuttgart,2,2,2.01,490,0.83,15,8,7,0.55,126,8,0,16,0
2020-2021,7,Augsburg,Home,Hertha Berlin,0,3,0.83,420,0.81,10,2,8,0.46,81,2,3,12,0
2020-2021,7,Hertha Berlin,Away,Augsburg,3,0,2.38,478,0.82,12,6,6,0.54,79,6,1,10,1
2020-2021,7,Mainz,Home,Schalke,2,2,2.89,251,0.69,14,7,7,0.37,111,4,0,19,0
2020-2021,7,Schalke,Away,Mainz,2,2,2.75,535,0.85,22,3,19,0.63,127,9,4,13,0
2020-2021,7,Borussia Dortmund,Home,Bayern Munich,2,3,,503,0.81,15,5,10,0.51,102,4,4,15,0
2020-2021,7,Bayern Munich,Away,Borussia Dortmund,3,2,,469,0.83,16,8,8,0.49,113,3,4,7,1
2020-2021,7,Wolfsburg,Home,Hoffenheim,2,1,,395,0.78,14,8,6,0.33,143,3,5,15,1
2020-2021,7,Hoffenheim,Away,Wolfsburg,1,2,,460,0.81,17,5,12,0.5,116,7,1,14,0
2020-2021,7,Bayer Leverkusen,Home,Borussia Mönchengladbach,4,3,1.56,601,0.86,15,5,10,0.6,131,6,2,15,1
2020-2021,7,Borussia Mönchengladbach,Away,Bayer Leverkusen,3,4,2.98,407,0.8,15,6,9,0.4,127,2,1,12,0
2020-2021,8,Arminia Bielefeld,Home,Bayer Leverkusen,1,2,0.04,331,0.73,1,1,0,0.37,96,0,2,6,0
2020-2021,8,Bayer Leverkusen,Away,Arminia Bielefeld,2,1,1.35,734,0.86,10,4,6,0.63,84,10,1,10,1
2020-2021,8,Schalke,Home,Wolfsburg,0,2,0.92,356,0.76,13,6,7,0.43,91,6,6,11,0
2020-2021,8,Wolfsburg,Away,Schalke,2,0,2.41,532,0.84,19,8,11,0.57,96,4,2,11,1
2020-2021,8,Hoffenheim,Home,VfB Stuttgart,3,3,1.64,374,0.81,13,8,5,0.44,130,3,1,15,0
2020-2021,8,VfB Stuttgart,Away,Hoffenheim,3,3,2.08,499,0.84,20,9,11,0.56,150,4,1,18,0
2020-2021,8,Borussia Mönchengladbach,Home,Augsburg,1,1,2.63,544,0.84,15,6,9,0.54,124,2,6,7,0
2020-2021,8,Augsburg,Away,Borussia Mönchengladbach,1,1,0.82,480,0.82,10,5,5,0.46,107,1,1,12,0
2020-2021,8,Bayern Munich,Home,Werder Bremen,1,1,1.19,647,0.9,15,3,12,0.68,125,7,2,10,0
2020-2021,8,Werder Bremen,Away,Bayern Munich,1,1,1.39,245,0.74,9,4,5,0.32,107,3,3,10,0
2020-2021,8,Eintracht Frankfurt,Home,RB Leipzig,1,1,0.84,317,0.72,8,3,5,0.42,95,5,0,18,0
2020-2021,8,RB Leipzig,Away,Eintracht Frankfurt,1,1,1.33,558,0.81,10,3,7,0.58,109,6,3,12,0
2020-2021,8,Hertha Berlin,Home,Borussia Dortmund,2,5,1.41,430,0.83,9,3,6,0.44,98,4,1,12,0
2020-2021,8,Borussia Dortmund,Away,Hertha Berlin,5,2,2.81,635,0.9,15,8,7,0.56,102,3,1,17,1
2020-2021,8,Freiburg,Home,Mainz,1,3,2.35,712,0.89,19,6,13,0.67,72,9,1,6,0
2020-2021,8,Mainz,Away,Freiburg,3,1,3.16,244,0.75,22,8,14,0.33,85,4,1,12,1
2020-2021,8,Cologne,Home,Union Berlin,1,2,0.79,431,0.78,10,4,6,0.5,101,5,2,12,0
2020-2021,8,Union Berlin,Away,Cologne,2,1,2.16,459,0.8,10,3,7,0.5,101,4,2,15,1
2020-2021,9,Wolfsburg,Home,Werder Bremen,5,3,1.03,590,0.87,12,6,6,0.59,104,0,3,12,1
2020-2021,9,Werder Bremen,Away,Wolfsburg,3,5,0.94,362,0.82,5,4,1,0.41,97,5,3,12,0
2020-2021,9,VfB Stuttgart,Home,Bayern Munich,1,3,1.61,420,0.81,14,5,9,0.47,109,4,7,11,0
2020-2021,9,Bayern Munich,Away,VfB Stuttgart,3,1,0.99,565,0.84,13,6,7,0.53,104,3,3,13,1
2020-2021,9,Augsburg,Home,Freiburg,1,1,0.42,548,0.84,10,2,8,0.59,84,4,3,15,0
2020-2021,9,Freiburg,Away,Augsburg,1,1,0.88,374,0.78,10,5,5,0.41,90,1,6,8,0
2020-2021,9,Union Berlin,Home,Eintracht Frankfurt,3,3,2.48,382,0.78,15,7,8,0.44,104,4,4,12,0
2020-2021,9,Eintracht Frankfurt,Away,Union Berlin,3,3,1.63,485,0.82,13,5,8,0.56,117,5,1,16,0
2020-2021,9,RB Leipzig,Home,Arminia Bielefeld,2,1,2.28,528,0.88,15,7,8,0.55,142,6,3,13,1
2020-2021,9,Arminia Bielefeld,Away,RB Leipzig,1,2,0.94,371,0.78,13,3,10,0.45,113,7,2,15,0
2020-2021,9,Borussia Dortmund,Home,Cologne,1,2,2.27,744,0.88,14,4,10,0.66,101,6,2,11,0
2020-2021,9,Cologne,Away,Borussia Dortmund,2,1,1.55,337,0.73,7,5,2,0.34,101,2,0,11,1
2020-2021,9,Borussia Mönchengladbach,Home,Schalke,4,1,3.01,546,0.86,19,9,10,0.55,118,5,1,8,1
2020-2021,9,Schalke,Away,Borussia Mönchengladbach,1,4,0.75,397,0.82,13,2,11,0.45,101,4,1,14,0
2020-2021,9,Bayer Leverkusen,Home,Hertha Berlin,0,0,0.83,503,0.85,14,2,12,0.56,95,6,0,16,0
2020-2021,9,Hertha Berlin,Away,Bayer Leverkusen,0,0,0.63,342,0.8,5,3,2,0.44,90,1,2,19,0
2020-2021,9,Mainz,Home,Hoffenheim,1,1,1.39,333,0.76,10,4,6,0.4,104,11,2,16,0
2020-2021,9,Hoffenheim,Away,Mainz,1,1,0.98,641,0.85,9,5,4,0.6,101,5,0,10,0
2020-2021,10,Hertha Berlin,Home,Union Berlin,3,1,0.49,619,0.89,10,7,3,0.7,93,9,0,15,1
2020-2021,10,Union Berlin,Away,Hertha Berlin,1,3,0.24,279,0.7,4,1,3,0.3,110,2,1,9,0
2020-2021,10,Arminia Bielefeld,Home,Mainz,2,1,1.15,469,0.75,11,5,6,0.49,132,2,1,16,1
2020-2021,10,Mainz,Away,Arminia Bielefeld,1,2,2.64,490,0.75,15,5,10,0.51,105,3,2,18,0
2020-2021,10,Cologne,Home,Wolfsburg,2,2,0.51,349,0.73,6,3,3,0.4,112,3,2,12,0
2020-2021,10,Wolfsburg,Away,Cologne,2,2,1.81,568,0.83,16,6,10,0.6,109,8,1,11,0
2020-2021,10,Eintracht Frankfurt,Home,Borussia Dortmund,1,1,0.76,404,0.74,9,1,8,0.44,114,6,1,14,0
2020-2021,10,Borussia Dortmund,Away,Eintracht Frankfurt,1,1,1.26,552,0.83,16,5,11,0.56,114,5,4,6,0
2020-2021,10,Freiburg,Home,Borussia Mönchengladbach,2,2,4.29,344,0.78,22,7,15,0.43,107,5,1,12,0
2020-2021,10,Borussia Mönchengladbach,Away,Freiburg,2,2,1.09,567,0.85,11,4,7,0.57,98,5,1,19,0
2020-2021,10,Bayern Munich,Home,RB Leipzig,3,3,1.24,607,0.83,10,6,4,0.6,95,10,0,5,0
2020-2021,10,RB Leipzig,Away,Bayern Munich,3,3,1.29,372,0.74,8,4,4,0.4,90,2,4,8,0
2020-2021,10,Werder Bremen,Home,VfB Stuttgart,1,2,0.78,456,0.81,14,3,11,0.51,126,2,0,10,0
2020-2021,10,VfB Stuttgart,Away,Werder Bremen,2,1,1.93,412,0.79,11,7,4,0.49,115,4,1,15,1
2020-2021,10,Schalke,Home,Bayer Leverkusen,0,3,1.38,290,0.72,13,4,9,0.37,109,2,1,16,0
2020-2021,10,Bayer Leverkusen,Away,Schalke,3,0,2.48,543,0.85,25,9,16,0.63,116,8,1,11,1
2020-2021,10,Hoffenheim,Home,Augsburg,3,1,1.24,534,0.87,10,7,3,0.6,95,4,7,15,1
2020-2021,10,Augsburg,Away,Hoffenheim,1,3,0.83,425,0.81,13,3,10,0.4,93,3,6,9,0
2020-2021,11,Wolfsburg,Home,Eintracht Frankfurt,2,1,2.07,438,0.76,16,8,8,0.53,100,8,2,10,1
2020-2021,11,Eintracht Frankfurt,Away,Wolfsburg,1,2,1.34,374,0.72,7,4,3,0.47,98,1,2,12,0
2020-2021,11,Mainz,Home,Cologne,0,1,1.71,524,0.83,15,4,11,0.58,101,5,2,15,0
2020-2021,11,Cologne,Away,Mainz,1,0,0.7,322,0.76,9,6,3,0.42,97,3,2,11,1
2020-2021,11,Freiburg,Home,Arminia Bielefeld,2,0,2.79,435,0.81,16,7,9,0.5,96,5,3,16,1
2020-2021,11,Arminia Bielefeld,Away,Freiburg,0,2,0.35,493,0.82,5,2,3,0.5,111,4,2,13,0
2020-2021,11,Borussia Mönchengladbach,Home,Hertha Berlin,1,1,1.36,450,0.82,17,4,13,0.54,96,13,1,9,0
2020-2021,11,Hertha Berlin,Away,Borussia Mönchengladbach,1,1,0.52,365,0.78,9,3,6,0.46,92,2,1,18,0
2020-2021,11,RB Leipzig,Home,Werder Bremen,2,0,2.53,568,0.89,15,7,8,0.54,119,1,2,17,1
2020-2021,11,Werder Bremen,Away,RB Leipzig,0,2,0.44,438,0.82,7,2,5,0.46,103,6,0,11,0
2020-2021,11,Borussia Dortmund,Home,VfB Stuttgart,1,5,0.83,744,0.88,12,4,8,0.66,98,8,3,11,0
2020-2021,11,VfB Stuttgart,Away,Borussia Dortmund,5,1,3.3,292,0.77,18,10,8,0.34,121,2,3,13,1
2020-2021,11,Union Berlin,Home,Bayern Munich,1,1,1.87,294,0.7,13,6,7,0.38,102,4,2,17,0
2020-2021,11,Bayern Munich,Away,Union Berlin,1,1,1.35,645,0.84,15,5,10,0.62,102,7,0,8,0
2020-2021,11,Augsburg,Home,Schalke,2,2,,267,0.68,8,4,4,0.4,114,2,0,17,0
2020-2021,11,Schalke,Away,Augsburg,2,2,,425,0.8,15,4,11,0.6,125,3,4,13,0
2020-2021,11,Bayer Leverkusen,Home,Hoffenheim,4,1,1.92,600,0.88,13,8,5,0.59,96,6,4,12,1
2020-2021,11,Hoffenheim,Away,Bayer Leverkusen,1,4,2.02,369,0.79,11,4,7,0.41,86,5,1,13,0
2020-2021,12,Eintracht Frankfurt,Home,Borussia Mönchengladbach,3,3,1.62,308,0.68,11,4,7,0.43,110,4,1,18,0
2020-2021,12,Borussia Mönchengladbach,Away,Eintracht Frankfurt,3,3,2.15,486,0.77,8,4,4,0.57,109,5,3,15,0
2020-2021,12,VfB Stuttgart,Home,Union Berlin,2,2,2.09,517,0.8,13,6,7,0.6,111,2,4,15,0
2020-2021,12,Union Berlin,Away,VfB Stuttgart,2,2,0.96,300,0.7,15,6,9,0.4,113,3,2,14,0
2020-2021,12,Werder Bremen,Home,Borussia Dortmund,1,2,0.24,484,0.82,6,3,3,0.48,90,4,1,10,0
2020-2021,12,Borussia Dortmund,Away,Werder Bremen,2,1,3.32,556,0.85,15,9,6,0.52,110,4,4,13,1
2020-2021,12,Hertha Berlin,Home,Mainz,0,0,0.49,558,0.86,9,0,9,0.63,99,5,0,17,0
2020-2021,12,Mainz,Away,Hertha Berlin,0,0,0.72,280,0.7,5,0,5,0.37,81,4,0,11,0
2020-2021,12,Schalke,Home,Freiburg,0,2,0.38,460,0.86,10,2,8,0.52,114,2,0,15,0
2020-2021,12,Freiburg,Away,Schalke,2,0,1.11,368,0.82,12,5,7,0.48,92,3,1,9,1
2020-2021,12,Arminia Bielefeld,Home,Augsburg,0,1,0.65,393,0.73,12,2,10,0.52,119,1,1,14,0
2020-2021,12,Augsburg,Away,Arminia Bielefeld,1,0,0.45,396,0.73,8,2,6,0.48,132,3,1,15,1
2020-2021,12,Cologne,Home,Bayer Leverkusen,0,4,0.8,317,0.76,7,0,7,0.38,95,2,2,12,0
2020-2021,12,Bayer Leverkusen,Away,Cologne,4,0,1.26,648,0.89,14,7,7,0.62,87,6,3,13,1
2020-2021,12,Hoffenheim,Home,RB Leipzig,0,1,1.24,390,0.83,7,4,3,0.46,104,5,3,16,0
2020-2021,12,RB Leipzig,Away,Hoffenheim,1,0,0.42,488,0.83,4,3,1,0.54,94,5,3,14,1
2020-2021,12,Bayern Munich,Home,Wolfsburg,2,1,1.72,493,0.84,11,2,9,0.58,141,7,0,14,1
2020-2021,12,Wolfsburg,Away,Bayern Munich,1,2,1.29,322,0.79,17,7,10,0.42,134,7,4,16,0
2020-2021,13,Union Berlin,Home,Borussia Dortmund,2,1,1.44,246,0.65,12,5,7,0.34,81,8,2,9,1
2020-2021,13,Borussia Dortmund,Away,Union Berlin,1,2,1.38,674,0.87,15,4,11,0.66,116,6,0,7,0
2020-2021,13,Augsburg,Home,Eintracht Frankfurt,0,2,1.4,386,0.77,15,4,11,0.47,116,2,1,9,0
2020-2021,13,Eintracht Frankfurt,Away,Augsburg,2,0,1.52,460,0.8,15,6,9,0.53,105,4,4,10,1
2020-2021,13,Mainz,Home,Werder Bremen,0,1,0.43,415,0.81,9,1,8,0.46,104,2,0,15,0
