match_id,team_id,scored,conceded,xgoals,passes,accuracy,shots,ontarget,offtarget,possession,tackleswon,corners,offsides,fouls,win,homeaway,rolling_avg_goals,prev_xgoals,prev_possession,prev_shots,prev_ontarget,prev_accuracy,cumulative_points,points_rank,goal_difference,win_streak,matchday,home_team_id,away_team_id,home_score,away_score,season_name,team_name,xg_performance,rolling_xg_performance,home_form_wins,home_form_goals,away_form_wins,away_form_goals,shot_conversion,rolling_shot_conversion,opponent_id,h2h_points,elo_before,opponent_elo_before
24,64,0,2,0.57,283,0.72,6,2,4,0.37,117,5,5,9,False,Home,1.25,0.84,0.39,9.0,1.0,0.72,7,3,2,0,4,64,69,0,2,2020-2021,Augsburg,-0.57,0.7133333333333334,1.0,2.0,,,0.0,0.2222222222222222,69,0,1537.7728900505151,1536.5800528531277
25,72,1,0,0.52,581,0.87,9,4,5,0.59,93,2,4,6,True,Away,0.6666666666666666,1.37,0.5,15.0,7.0,0.8,5,4,1,2,4,70,72,0,1,2020-2021,Bayer Leverkusen,0.48,-0.5800000000000001,,,0.0,0.5,0.1111111111111111,0.03333333333333333,70,0,1498.8499774443092,1480.0
25,70,0,1,0.39,364,0.79,5,0,5,0.41,97,6,5,12,False,Home,0.5,1.04,0.32,8.0,1.0,0.77,0,12,-3,0,4,70,72,0,1,2020-2021,Mainz,-0.39,-0.040000000000000036,,,,,0.0,0.125,72,0,1480.0,1498.8499774443092
26,57,2,0,1.3,286,0.72,7,2,5,0.38,111,4,1,10,True,Away,1.6666666666666667,0.73,0.5,11.0,2.0,0.8,4,5,1,2,4,60,57,0,2,2020-2021,VfB Stuttgart,0.7,0.1200000000000001,,,,,0.2857142857142857,0.08893280632411067,60,0,1481.1500225556908,1498.8499774443092
26,60,0,2,1.1,546,0.85,16,4,12,0.62,128,6,1,14,False,Home,1.6666666666666667,1.26,0.57,12.0,6.0,0.85,3,7,-1,0,4,60,57,0,2,2020-2021,Hertha Berlin,-1.1,0.9500000000000001,0.0,1.0,,,0.0,0.1955128205128205,57,0,1498.8499774443092,1481.1500225556908
27,71,1,1,1.45,435,0.77,14,5,9,0.52,117,4,4,13,False,Away,0.5,1.44,0.61,17.0,6.0,0.85,4,5,0,0,4,68,71,1,1,2020-2021,Wolfsburg,-0.44999999999999996,-0.61,,,0.0,1.0,0.07142857142857142,0.041666666666666664,68,0,1503.3771325051757,1480.0
27,68,1,1,1.55,400,0.79,13,2,11,0.48,109,5,2,14,False,Home,0.6666666666666666,1.84,0.6,14.0,5.0,0.85,2,8,-3,0,4,68,71,1,1,2020-2021,Borussia Mönchengladbach,-0.55,-0.7150000000000001,0.0,1.0,,,0.07692307692307693,0.03571428571428571,71,0,1480.0,1503.3771325051757
28,65,1,1,1.82,500,0.79,16,4,12,0.56,136,8,0,18,False,Away,1.75,3.15,0.5,16.0,8.0,0.8,8,2,3,0,4,61,65,1,1,2020-2021,Eintracht Frankfurt,-0.8200000000000001,-0.4466666666666666,,,1.0,3.0,0.0625,0.1510942760942761,61,0,1541.0838221776276,1461.1500225556908
28,61,1,1,1.08,322,0.74,9,5,4,0.44,128,2,4,19,False,Home,1.0,1.57,0.5,12.0,2.0,0.8,1,10,-2,0,4,61,65,1,1,2020-2021,Cologne,-0.08000000000000007,-0.91,0.0,2.0,,,0.1111111111111111,0.07692307692307693,65,0,1461.1500225556908,1541.0838221776276
29,63,1,1,1.24,386,0.77,13,7,6,0.46,89,7,2,13,False,Away,1.0,1.02,0.4,15.0,2.0,0.75,2,8,-2,0,4,56,63,1,1,2020-2021,Union Berlin,-0.24,-0.22499999999999998,,,0.0,1.0,0.07692307692307693,0.06904761904761905,56,0,1480.0,1443.4199471468723
29,56,1,1,0.35,448,0.85,8,4,4,0.54,94,5,2,7,False,Home,0.5,0.36,0.38,4.0,1.0,0.78,1,10,-14,0,4,56,63,1,1,2020-2021,Schalke,0.65,-0.29000000000000004,0.0,1.0,,,0.125,0.0196078431372549,63,0,1443.4199471468723,1480.0
30,61,1,1,1.92,363,0.82,14,4,10,0.43,93,5,1,13,False,Away,1.0,1.08,0.44,9.0,5.0,0.74,2,12,-2,0,5,57,61,1,1,2020-2021,Cologne,-0.9199999999999999,-0.6333333333333334,,,0.0,0.0,0.07142857142857142,0.08831908831908832,57,0,1465.6718795179254,1502.168033317216
30,57,1,1,0.85,546,0.85,9,4,5,0.57,123,3,1,11,False,Home,1.5,1.3,0.38,7.0,2.0,0.72,5,8,1,0,5,57,61,1,1,2020-2021,VfB Stuttgart,0.15000000000000002,0.3133333333333334,0.0,1.5,,,0.1111111111111111,0.15452663278750234,61,0,1502.168033317216,1465.6718795179254
31,60,1,2,1.0,241,0.71,11,3,8,0.6,99,3,0,20,False,Away,1.5,1.1,0.62,16.0,4.0,0.85,3,11,-2,0,5,69,60,2,1,2020-2021,Hertha Berlin,0.0,0.26666666666666666,,,1.0,4.0,0.09090909090909091,0.13034188034188035,69,0,1477.831966682784,1556.6487178120635
31,69,2,1,3.3,521,0.86,29,7,22,0.22,145,7,2,10,True,Home,2.75,1.76,0.63,15.0,6.0,0.85,12,1,9,4,5,69,60,2,1,2020-2021,RB Leipzig,-1.2999999999999998,0.1533333333333334,2.0,3.5,,,0.06896551724137931,0.15141476880607316,60,0,1556.6487178120635,1477.831966682784
32,65,0,5,0.4,377,0.78,9,3,6,0.37,86,3,7,12,False,Away,1.4,1.82,0.56,16.0,4.0,0.79,8,2,-2,0,5,55,65,5,0,2020-2021,Eintracht Frankfurt,-0.4,-0.54,,,1.0,2.0,0.0,0.12894570707070707,55,0,1536.561965215393,1520.0
32,55,5,0,2.6,576,0.88,20,10,10,0.63,102,10,3,11,True,Home,6.5,4.35,0.61,22.0,12.0,0.9,6,7,13,2,5,55,65,5,0,2020-2021,Bayern Munich,2.4,3.6500000000000004,1.0,8.0,,,0.25,0.36363636363636365,65,0,1520.0,1536.561965215393
33,66,1,2,0.31,507,0.8,8,1,7,0.51,113,3,1,10,False,Away,0.75,1.0,0.6,10.0,5.0,0.85,4,9,-1,0,5,71,66,2,1,2020-2021,Arminia Bielefeld,0.69,-0.13999999999999999,,,0.0,0.5,0.125,0.07142857142857142,71,0,1497.7659489437324,1502.0334636783057
